piction ID,filename,event ID,permissions,iso 8601,day,month,year,recording location,pfa series,event title,event notes,technical/recording notes,tape number,tape side,speakers 1,speakers 2,speakers 3,speakers 4,speakers 5,speakers 6,speakers 7,speakers 8,speakers 9,speakers 10,speakers 11,speakers 12,film titles 1,film titles 2,film titles 3,film titles 4,film titles 5,film titles 6,film titles 7,film titles 8,film titles 9,film titles 10,film titles 11,film titles 12,film titles 13,film titles 14,film titles 15,film titles 16,film titles 17,film titles 18,Born-digital status,digitizer,file size
11878703,20110403_Radical-Light_Preserving-the-Avant-Garde_Jon-Shibata.WAV,02375,3,2011-04-03T00:00:00Z,03,04,2011,,Radical Light,Preserving the Avant Garde,,,,,Jon Shibata,,,,,,,,,,,,Preserving the Avant Garde,,,,,,,,,,,,,,,,,,Born-digital,,176622380
11878712,20110403_Shutter-Island_Behind-the-Scenes-Art-Direction_Patricia-Woodbridge.WAV,02376,1,2011-04-03T00:00:00Z,03,04,2011,,Behind the scenes,Behind the scenes Shutter Island,,,,,Patricia Woodbridge,,,,,,,,,,,,Shutter island,,,,,,,,,,,,,,,,,,Born-digital,,127911212
11878721,20110406_Chicago-Survey-Trilogy_Thomas-Comerford.WAV,02377,1,2011-04-06T00:00:00Z,06,04,2011,,Chicago Survey Trilogy,Chicago Survey Trilogy,,,,,Thomas Comerford,,,,,,,,,,,,Chicago Survey Trilogy,,,,,,,,,,,,,,,,,,Born-digital,,432490796
11878730,20110417_Sweetgrass_Ilisa-Barbash.WAV,02378,1,2011-04-17T00:00:00Z,17,04,2011,,Sweetgrass,Sweetgrass,,,,,Ilisa Barbash,,,,,,,,,,,,Sweetgrass,,,,,,,,,,,,,,,,,,Born-digital,,261294380
11878739,20110423_Autumn_Aamir-Bashir.WAV,02379,2,2011-04-23T00:00:00Z,23,04,2011,,Autumn,Autumn,,,,,Aamir Bashir,,,,,,,,,,,,Autumn,,,,,,,,,,,,,,,,,,Born-digital,,189393452
11878748,20110423_Green-Wave_Ali-Samadi-Ahadi.WAV,02380,2,2011-04-23T00:00:00Z,23,04,2011,,Green Wave,Green Wave,,,,,Ali Samadi Ahadi,,,,,,,,,,,,Green Wave,,,,,,,,,,,,,,,,,,Born-digital,,240655148
11878757,20110424_Something-Ventured_Dan-Geller_Dayna-Goldfine.WAV,02381,1,2011-04-24T00:00:00Z,24,04,2011,,Something Ventured,Something Ventured,,,,,Dan Geller,Dayna Goldfine,,,,,,,,,,,Something Ventured,,,,,,,,,,,,,,,,,,Born-digital,,244779308
11878766,20110425_Women-Art-Revolution_Lynn-Hershman-Leeson.WAV,02382,2,2011-04-25T00:00:00Z,25,04,2011,,Women Art Revolution,Women Art Revolution,,,,,Lynn  Hershman-Leeson,,,,,,,,,,,,Women Art Revolution,,,,,,,,,,,,,,,,,,Born-digital,,208053548
11878784,20110426_Position-Among-The-Stars_Leonard-Retel-Helmrich.WAV,02383,1,2011-04-26T00:00:00Z,26,04,2011,,Position Among The Stars,Position Among the Stars,,,,,Leonard Retel Helmrich,,,,,,,,,,,,Position Among The Stars,,,,,,,,,,,,,,,,,,Born-digital,,172829996
11878793,20110427_Crime-After-Crime_Yoav-Potash.WAV,02384,1,2011-04-27T00:00:00Z,27,04,2011,,Crime After Crime,Crime After Crime,,,,,Yoav Potash,,,,,,,,,,,,Crime After Crime,,,,,,,,,,,,,,,,,,Born-digital,,356811308
